14/04/18,BUC8623,19:35,19:37
14/04/18,DLH1122,19:45,19:57
14/04/18,BAW464,20:10,19:46
14/04/18,IBE3253,20:15,19:55
14/04/18,UAE143,20:20,20:21
14/04/18,CES709,20:35,19:56
14/04/18,AEA1062,20:35,20:15
14/04/18,WZZ3763,20:40,20:09
14/04/18,RYR2828,20:10,20:07
14/04/18,KLM1705,19:25,19:28
14/04/18,RYR5375,19:40,19:43
14/04/18,IBE8547,19:50,19:35
14/04/18,RYR9685,20:00,20:51
14/04/18,IBE3343,20:20,20:11
14/04/18,QFA8143,20:20,20:22
14/04/18,FIN1661,20:25,20:30
14/04/18,IBE3171,20:35,20:20
14/04/18,AEA1016,20:45,20:29
14/04/18,IBE8755,20:45,20:36
14/04/18,IBE3445,20:55,20:54
14/04/18,AEA1672,21:00,20:38
14/04/18,IBE3471,21:00,20:43
14/04/18,AEA1174,21:10,21:04
14/04/18,IBE8399,21:15,21:11
14/04/18,AEA1094,21:15,21:06
14/04/18,RZO8718,21:20,21:25
14/04/18,WZZ3171,21:20,21:26
14/04/18,IBE3261,21:30,21:20
14/04/18,AEA1506,22:00,21:36
15/04/18,AEA042,05:10,05:11
15/04/18,AEA176,05:10,05:06
15/04/18,AEA058,05:20,04:58
15/04/18,IBE6824,06:10,06:04
15/04/18,IBE6166,06:20,05:50
15/04/18,IBE6842,06:25,06:33
15/04/18,IBE6830,06:25,06:24
15/04/18,IBE6400,06:25,06:07
15/04/18,IBE6250,06:30,06:29
15/04/18,IBE6500,06:30,06:29
15/04/18,AAL740,06:40,06:39
15/04/18,RYR1063,00:00,00:03
15/04/18,AVA026,07:05,06:46
15/04/18,IBE6274,07:50,07:23
15/04/18,IBE6124,07:50,07:34
15/04/18,CCA907,07:15,08:01
15/04/18,FIN5646,07:50,07:34
15/04/18,IBE8397,07:55,07:49
15/04/18,ETD075,08:20,08:18
15/04/18,AAL094,08:30,08:31
15/04/18,AAL748,08:20,08:17
15/04/18,AEA3814,08:20,08:18
15/04/18,RYR5483,08:45,08:35
15/04/18,TAP1028,15:30,17:26
15/04/18,VLG8201,15:35,16:56
15/04/18,EZY7613,16:20,17:24
15/04/18,EZY7103,16:20,17:50
15/04/18,IBE3405,16:40,16:40
15/04/18,BAW460,16:45,16:46
15/04/18,THY1859,16:45,17:00
